Area Code4,Geography3,Area.x,Por_18,Bungalow_Total,Por_19,Flat/Maisonette_Total,Por_20,Terraced_House_Total,Por_21,Semi_detached_House_Total,Por_22,Detached_House_Total,Por_23,Annexe,Por_24,Other1,Por_25,Unknown2,Total,1,Area.y,AREA_NAME,BP_PRE_1900,Por_1,BP_1900_1918,Por_2,BP_1919_1929,Por_3,BP_1930_1939,Por_4,Por_14,BP_1945_1954,Por_5,BP_1955_1964,Por_6,BP_1965_1972,Por_7,Por_15,BP_1973_1982,Por_8,BP_1983_1992,Por_9,BP_1993_1999,Por_10,Por_16,BP_2000_2009,Por_11,BP_2010_2015,Por_12,BP_UNKNOWN,Por_13,Por_17,ALL_PROPERTIES,MODE1_VAL,MODE1_TYPE,MODE1_PC,MODE2_VAL,MODE2_TYPE,MODE2_PC,MODE2_MODE1_RATIO
E01003983,LSOA,Southwark 018A,0,0,0.947368421,720,0.039473684,30,0,0,0,0,0,0,0,0,0,0,760,LSOA,Southwark 018A,Southwark 018A,30,0.039473684,10,0.013157895,0,0,50,0.065789474,0.065789474,170,0.223684211,120,0.157894737,330,0.434210526,0.815789474,0,0,1,0.001315789,0,0,0.001315789,20,0.026315789,20,0.026315789,20,0.026315789,0.078947367,760,330,BP_1965_1972,0.43,170,BP_1945_1954,0.22,0.52
E01003984,LSOA,Southwark 023A,0,0,0.704081633,690,0.224489796,220,0.020408163,20,0,0,0,0,0.010204082,10,0.051020408,50,980,LSOA,Southwark 023A,Southwark 023A,490,0.5,40,0.040816327,10,0.010204082,0,0,0.010204082,1,0.001020408,0,0,150,0.153061224,0.154081632,10,0.010204082,90,0.091836735,0,0,0.102040817,100,0.102040816,40,0.040816327,70,0.071428571,0.214285714,980,490,BP_PRE_1900,0.5,150,BP_1965_1972,0.15,0.31
E01003986,LSOA,Southwark 011A,0,0,0.757575758,500,0.106060606,70,0,0,0,0,0,0,0,0,0.136363636,90,660,LSOA,Southwark 011A,Southwark 011A,30,0.044117647,1,0.001470588,1,0.001470588,0,0,0.001470588,0,0,20,0.029411765,10,0.014705882,0.044117647,180,0.264705882,50,0.073529412,1,0.001470588,0.339705882,50,0.073529412,130,0.191176471,220,0.323529412,0.588235295,680,220,BP_UNKNOWN,0.32,180,BP_1973_1982,0.26,0.82
E01003987,LSOA,Southwark 011B,0,0,0.333333333,260,0.141025641,110,0.012820513,10,0,0,0,0,0,0,0.512820513,400,780,LSOA,Southwark 011B,Southwark 011B,20,0.025641026,0,0,0,0,1,0.001282051,0.001282051,1,0.001282051,10,0.012820513,0,0,0.014102564,20,0.025641026,60,0.076923077,120,0.153846154,0.256410257,110,0.141025641,20,0.025641026,430,0.551282051,0.717948718,780,430,BP_UNKNOWN,0.55,120,BP_1993_1999,0.15,0.28
E01003988,LSOA,Southwark 018B,0,0,0.780487805,640,0.195121951,160,0.012195122,10,0,0,0,0,0,0,0.024390244,20,820,LSOA,Southwark 018B,Southwark 018B,170,0.207317073,140,0.170731707,0,0,1,0.001219512,0.001219512,1,0.001219512,10,0.012195122,350,0.426829268,0.440243902,1,0.001219512,20,0.024390244,30,0.036585366,0.062195122,30,0.036585366,10,0.012195122,80,0.097560976,0.146341464,820,350,BP_1965_1972,0.43,170,BP_PRE_1900,0.21,0.49
E01003989,LSOA,Southwark 018C,0,0,0.875,630,0.069444444,50,0,0,0,0,0,0,0,0,0.041666667,30,720,LSOA,Southwark 018C,Southwark 018C,20,0.02739726,10,0.01369863,0,0,390,0.534246575,0.534246575,170,0.232876712,0,0,30,0.04109589,0.273972602,1,0.001369863,10,0.01369863,70,0.095890411,0.110958904,20,0.02739726,10,0.01369863,20,0.02739726,0.06849315,730,390,BP_1930_1939,0.53,170,BP_1945_1954,0.23,0.44
E01003990,LSOA,Southwark 018D,0,0,0.75,600,0.175,140,0.025,20,0,0,0,0,0,0,0.0375,30,800,LSOA,Southwark 018D,Southwark 018D,180,0.225,0,0,0,0,0,0,0,220,0.275,120,0.15,1,0.00125,0.42625,70,0.0875,100,0.125,10,0.0125,0.225,80,0.1,0,0,40,0.05,0.15,800,220,BP_1945_1954,0.28,180,BP_PRE_1900,0.23,0.82
E01003991,LSOA,Southwark 017C,0,0,0.754098361,460,0.245901639,150,0,0,0,0,0,0,0,0,0,0,610,LSOA,Southwark 017C,Southwark 017C,20,0.032786885,0,0,0,0,0,0,0,1,0.001639344,0,0,20,0.032786885,0.034426229,570,0.93442623,0,0,0,0,0.93442623,0,0,0,0,1,0.001639344,0.001639344,610,570,BP_1973_1982,0.93,20,BP_1965_1972,0.03,0.04
E01003992,LSOA,Southwark 014A,0.015151515,10,0.909090909,600,0.060606061,40,0.015151515,10,0,0,0,0,0,0,0,0,660,LSOA,Southwark 014A,Southwark 014A,10,0.014285714,1,0.001428571,0,0,20,0.028571429,0.028571429,130,0.185714286,240,0.342857143,110,0.157142857,0.685714286,40,0.057142857,30,0.042857143,1,0.001428571,0.101428571,0,0,110,0.157142857,10,0.014285714,0.171428571,700,240,BP_1955_1964,0.34,130,BP_1945_1954,0.19,0.54
E01003993,LSOA,Southwark 017D,0,0,0.986842105,750,0,0,0,0,0,0,0,0,0,0,0,0,760,LSOA,Southwark 017D,Southwark 017D,0,0,0,0,0,0,0,0,0,0,0,370,0.486842105,270,0.355263158,0.842105263,40,0.052631579,0,0,0,0,0.052631579,0,0,80,0.105263158,1,0.001315789,0.106578947,760,370,BP_1955_1964,0.49,270,BP_1965_1972,0.36,0.73
