1,Area Code4,Area,Bungalow,Flat/Maisonette,Terraced House,Semi0detached House,Detached House,Unknown,AREA_NAME,BP_PRE_1900,Por_1,BP_1900_1918,Por_2,BP_1919_1929,Por_3,BP_1930_1939,Por_4,Por_14,BP_1945_1954,Por_5,BP_1955_1964,Por_6,BP_1965_1972,Por_7,Por_15,BP_1973_1982,Por_8,BP_1983_1992,Por_9,BP_1993_1999,Por_10,Por_16,BP_2000_2009,Por_11,BP_2010_2015,Por_12,BP_UNKNOWN,Por_13,Por_17,ALL_PROPERTIES,MODE1_VAL,MODE1_TYPE,MODE1_PC,MODE2_VAL,MODE2_TYPE,MODE2_PC,MODE2_MODE1_RATIO
LSOA,E01000134,Barnet 024F,0,160,450,0,0,0,Barnet 024F,0,0,0,0,380,0.612903226,0,0,0.612903226,1,0.001612903,0,0,0,0,0.001612903,20,0.032258065,150,0.241935484,60,0.096774194,0.370967743,0,0,1,0.001612903,0,0,0.001612903,620,380,BP_1919_1929,0.61,150,BP_1983_1992,0.24,0.39
LSOA,E01000135,Barnet 038A,10,270,20,230,120,0,Barnet 038A,20,0.028571429,180,0.257142857,260,0.371428571,20,0.028571429,0.4,1,0.001428571,10,0.014285714,10,0.014285714,0.029999999,1,0.001428571,10,0.014285714,1,0.001428571,0.017142856,20,0.028571429,180,0.257142857,1,0.001428571,0.287142857,700,260,BP_1919_1929,0.37,180,BP_2010_2015,0.26,0.69
LSOA,E01000136,Barnet 038B,10,240,10,120,240,0,Barnet 038B,30,0.048387097,250,0.403225806,30,0.048387097,50,0.080645161,0.129032258,20,0.032258065,20,0.032258065,50,0.080645161,0.145161291,20,0.032258065,80,0.129032258,20,0.032258065,0.193548388,20,0.032258065,30,0.048387097,1,0.001612903,0.082258065,620,250,BP_1900_1918,0.4,80,BP_1983_1992,0.13,0.32
LSOA,E01000137,Barnet 041A,0,560,120,30,0,0,Barnet 041A,1,0.001408451,120,0.169014085,40,0.056338028,50,0.070422535,0.126760563,1,0.001408451,180,0.253521127,200,0.281690141,0.536619719,20,0.028169014,0,0,1,0.001408451,0.029577465,40,0.056338028,50,0.070422535,1,0.001408451,0.128169014,710,200,BP_1965_1972,0.28,180,BP_1955_1964,0.25,0.9
LSOA,E01000138,Barnet 040A,70,240,100,210,40,0,Barnet 040A,0,0,140,0.208955224,300,0.447761194,150,0.223880597,0.671641791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0.104477612,1,0.001492537,1,0.001492537,0.107462686,670,300,BP_1919_1929,0.45,150,BP_1930_1939,0.22,0.5
LSOA,E01000139,Barnet 041B,0,340,30,130,60,0,Barnet 041B,80,0.137931034,30,0.051724138,240,0.413793103,140,0.24137931,0.655172413,20,0.034482759,1,0.001724138,50,0.086206897,0.122413794,1,0.001724138,10,0.017241379,1,0.001724138,0.020689655,10,0.017241379,1,0.001724138,1,0.001724138,0.020689655,580,240,BP_1919_1929,0.41,140,BP_1930_1939,0.24,0.58
LSOA,E01000140,Barnet 041C,10,540,100,20,40,0,Barnet 041C,100,0.136986301,220,0.301369863,40,0.054794521,140,0.191780822,0.246575343,30,0.04109589,130,0.178082192,0,0,0.219178082,10,0.01369863,20,0.02739726,20,0.02739726,0.06849315,20,0.02739726,10,0.01369863,1,0.001369863,0.042465753,730,220,BP_1900_1918,0.3,140,BP_1930_1939,0.19,0.64
LSOA,E01000141,Barnet 039A,0,600,210,40,0,0,Barnet 039A,600,0.705882353,100,0.117647059,0,0,10,0.011764706,0.011764706,0,0,0,0,10,0.011764706,0.011764706,20,0.023529412,10,0.011764706,20,0.023529412,0.05882353,90,0.105882353,1,0.001176471,1,0.001176471,0.108235295,850,600,BP_PRE_1900,0.71,100,BP_1900_1918,0.12,0.17
LSOA,E01000142,Barnet 040B,10,540,180,170,10,0,Barnet 040B,1,0.001111111,160,0.177777778,70,0.077777778,90,0.1,0.177777778,0,0,1,0.001111111,0,0,0.001111111,0,0,170,0.188888889,150,0.166666667,0.355555556,260,0.288888889,1,0.001111111,1,0.001111111,0.291111111,900,260,BP_2000_2009,0.29,170,BP_1983_1992,0.19,0.65
LSOA,E01000143,Barnet 041D,0,310,140,90,0,0,Barnet 041D,90,0.163636364,1,0.001818182,1,0.001818182,280,0.509090909,0.510909091,40,0.072727273,30,0.054545455,0,0,0.127272728,50,0.090909091,50,0.090909091,0,0,0.181818182,1,0.001818182,1,0.001818182,1,0.001818182,0.005454546,550,280,BP_1930_1939,0.51,90,BP_PRE_1900,0.16,0.32
LSOA,E01000144,Barnet 038C,0,500,10,160,30,20,Barnet 038C,10,0.014084507,490,0.690140845,70,0.098591549,40,0.056338028,0.154929577,10,0.014084507,0,0,20,0.028169014,0.042253521,10,0.014084507,20,0.028169014,1,0.001408451,0.043661972,10,0.014084507,10,0.014084507,20,0.028169014,0.056338028,710,490,BP_1900_1918,0.69,70,BP_1919_1929,0.1,0.14
